"","home_team","away_team","Year","home_score","away_score","outcome","home_foreign","away_foreign"
"1","Germany","Algeria",1982,1,2,"l",1,3
"2","Brazil","Algeria",1986,1,0,"w",2,5
"3","England","Algeria",2010,0,0,"t",3,17
"4","United States","Algeria",2010,1,0,"w",12,17
"5","Germany","Algeria",2014,2,1,"w",17,16
"6","South Korea","Algeria",2014,2,4,"l",0,16
"7","Belgium","Algeria",2014,2,1,"w",12,16
"8","Mexico","Angola",2006,0,0,"t",3,2
"9","Iran","Angola",2006,1,1,"t",2,2
"10","Uruguay","Argentina",1930,4,2,"w",3,2
"11","Sweden","Argentina",1934,3,2,"w",0,1
"13","Hungary","Argentina",1962,0,0,"t",0,2
"14","England","Argentina",1962,3,1,"w",0,2
"15","Germany","Argentina",1966,0,0,"t",22,1
"16","England","Argentina",1966,1,0,"w",2,1
"17","Poland","Argentina",1974,3,2,"w",1,0
"18","Netherlands","Argentina",1974,4,0,"w",0,0
"19","Italy","Argentina",1978,1,0,"w",1,0
"20","Italy","Argentina",1982,2,1,"w",2,0
"21","Italy","Argentina",1986,1,1,"t",0,2
"22","Germany","Argentina",1990,1,0,"w",0,1
"23","Italy","Argentina",1990,1,1,"t",1,1
"24","Yugoslavia","Argentina",1990,0,0,"t",1,1
"25","Brazil","Argentina",1990,0,1,"l",1,1
"26","Romania","Argentina",1994,3,2,"w",2,1
"27","Netherlands","Argentina",1998,2,1,"w",9,2
"28","Sweden","Argentina",2002,1,1,"t",4,1
"29","Germany","Argentina",2006,1,1,"t",23,3
"30","Netherlands","Argentina",2006,0,0,"t",8,3
"31","Greece","Argentina",2010,0,2,"l",4,4
"32","Nigeria","Argentina",2014,2,3,"l",1,3
"33","Germany","Argentina",2014,1,0,"w",17,3
"34","Netherlands","Argentina",2014,0,0,"t",9,3
"35","Nigeria","Argentina",2018,1,2,"l",4,3
"36","France","Argentina",2018,4,3,"w",19,3
"39","Germany","Australia",1974,2,0,"w",7,15
"40","Germany","Australia",1974,2,0,"w",2,15
"41","Brazil","Australia",2006,2,0,"w",1,17
"42","Italy","Australia",2006,1,0,"w",2,17
"43","Croatia","Australia",2006,2,2,"t",23,17
"44","Germany","Australia",2010,4,0,"w",23,14
"45","Ghana","Australia",2010,1,1,"t",3,14
"46","Chile","Australia",2014,3,1,"w",2,13
"47","France","Australia",2018,2,1,"w",19,17
"48","Denmark","Australia",2018,1,1,"t",7,17
"52","Italy","Austria",1934,1,0,"w",5,22
"53","Germany","Austria",1934,3,2,"w",22,22
"54","Germany","Austria",1954,6,1,"w",22,1
"55","Switzerland","Austria",1954,5,7,"l",2,1
"56","Soviet Union","Austria",1958,2,0,"w",0,2
"57","Brazil","Austria",1958,3,0,"w",2,2
"58","England","Austria",1958,2,2,"t",0,2
"59","Netherlands","Austria",1978,5,1,"w",0,0
"60","Italy","Austria",1978,1,0,"w",1,0
"61","Brazil","Austria",1978,1,0,"w",2,0
"62","Germany","Austria",1982,1,0,"w",1,1
"63","Algeria","Austria",1982,0,2,"l",3,1
"64","Chile","Austria",1982,0,1,"l",0,1
"65","Italy","Austria",1990,1,0,"w",1,0
"66","Italy","Austria",1998,2,1,"w",3,1
"67","Cameroon","Austria",1998,1,1,"t",3,1
"68","Chile","Austria",1998,1,1,"t",0,1
"69","Paraguay","Belgium",1930,1,0,"w",0,0
"70","United States","Belgium",1930,3,0,"w",16,0
"71","Germany","Belgium",1934,5,2,"w",22,0
"72","France","Belgium",1938,3,1,"w",14,2
"73","Italy","Belgium",1954,4,1,"w",0,0
"74","England","Belgium",1954,4,4,"t",0,0
"75","Soviet Union","Belgium",1970,4,1,"w",0,1
"76","Mexico","Belgium",1970,1,0,"w",0,1
"77","Argentina","Belgium",1982,0,1,"l",0,1
"78","Poland","Belgium",1982,3,0,"w",0,1
"79","Iraq","Belgium",1986,1,2,"l",0,1
"80","Spain","Belgium",1986,1,1,"t",0,1
"81","Soviet Union","Belgium",1986,3,4,"l",2,1
"82","France","Belgium",1986,4,2,"w",8,1
"83","Argentina","Belgium",1986,2,0,"w",2,1
"84","Paraguay","Belgium",1986,2,2,"t",1,1
"85","England","Belgium",1990,1,0,"w",3,1
"86","Germany","Belgium",1994,3,2,"w",22,2
"87","Netherlands","Belgium",1998,0,0,"t",9,5
"88","Brazil","Belgium",2002,2,0,"w",0,3
"89","Tunisia","Belgium",2002,1,1,"t",2,3
"90","Japan","Belgium",2002,2,2,"t",1,3
"91","Argentina","Belgium",2014,1,0,"w",3,12
"92","South Korea","Belgium",2014,0,1,"l",0,12
"93","France","Belgium",2018,1,0,"w",19,12
"94","Brazil","Belgium",2018,1,2,"l",1,12
"95","England","Belgium",2018,0,1,"l",10,12
"97","Yugoslavia","Bolivia",1930,4,0,"w",17,0
"98","Brazil","Bolivia",1930,4,0,"w",0,0
"99","Uruguay","Bolivia",1950,8,0,"w",3,1
"100","Germany","Bolivia",1994,1,0,"w",22,4
"101","South Korea","Bolivia",1994,0,0,"t",0,4
"102","Nigeria","Bosnia and Herzegovina",2014,1,0,"w",1,23
"103","Argentina","Bosnia and Herzegovina",2014,2,1,"w",3,23
"104","Yugoslavia","Brazil",1930,2,1,"w",17,0
"105","Spain","Brazil",1934,3,1,"w",1,0
"106","Italy","Brazil",1938,2,1,"w",1,1
"107","Uruguay","Brazil",1950,2,1,"w",3,1
"108","Hungary","Brazil",1954,4,2,"w",3,1
"109","Portugal","Brazil",1966,3,1,"w",4,0
"110","Hungary","Brazil",1966,3,1,"w",0,0
"111","Netherlands","Brazil",1974,2,0,"w",0,1
"112","Scotland","Brazil",1974,0,0,"t",2,1
"113","Zaire","Brazil",1974,0,3,"l",22,1
"114","Argentina","Brazil",1974,1,2,"l",0,1
"115","Sweden","Brazil",1978,1,1,"t",0,2
"116","Argentina","Brazil",1978,0,0,"t",0,2
"117","Italy","Brazil",1982,3,2,"w",2,2
"118","Argentina","Brazil",1982,1,3,"l",0,2
"119","Spain","Brazil",1986,0,1,"l",0,2
"120","Ireland","Brazil",1986,0,3,"l",2,2
"121","Sweden","Brazil",1994,0,1,"l",6,1
"122","Netherlands","Brazil",1994,2,3,"l",5,1
"123","England","Brazil",2002,1,2,"l",9,0
"124","Germany","Brazil",2002,0,2,"l",23,0
"125","Costa Rica","Brazil",2002,2,5,"l",0,0
"126","Japan","Brazil",2006,1,4,"l",1,1
"127","Portugal","Brazil",2010,0,0,"t",7,1
"128","Netherlands","Brazil",2010,2,1,"w",12,1
"129","Cameroon","Brazil",2014,1,4,"l",5,0
"130","Serbia","Brazil",2018,0,2,"l",23,1
"133","Argentina","Bulgaria",1962,1,0,"w",2,0
"134","England","Bulgaria",1962,0,0,"t",0,0
"135","Hungary","Bulgaria",1962,6,1,"w",0,0
"136","Hungary","Bulgaria",1966,3,1,"w",0,0
"137","Brazil","Bulgaria",1966,2,0,"w",0,0
"138","Portugal","Bulgaria",1966,3,0,"w",4,0
"139","Germany","Bulgaria",1970,5,2,"w",21,0
"140","Peru","Bulgaria",1970,3,2,"w",0,0
"141","Sweden","Bulgaria",1974,0,0,"t",0,0
"142","Argentina","Bulgaria",1986,2,0,"w",2,0
"143","Mexico","Bulgaria",1986,2,0,"w",1,0
"144","South Korea","Bulgaria",1986,1,1,"t",0,0
"145","Mexico","Bulgaria",1994,1,1,"t",1,0
"146","Sweden","Bulgaria",1994,4,0,"w",6,0
"147","Argentina","Bulgaria",1994,0,2,"l",1,0
"148","Nigeria","Bulgaria",1994,3,0,"w",1,0
"149","Spain","Bulgaria",1998,6,1,"w",2,0
"150","Paraguay","Bulgaria",1998,0,0,"t",2,0
"151","Nigeria","Bulgaria",1998,1,0,"w",0,0
"152","Peru","Cameroon",1982,0,0,"t",1,3
"153","Peru","Cameroon",1982,0,0,"t",1,0
"154","Poland","Cameroon",1982,0,0,"t",0,3
"155","Poland","Cameroon",1982,0,0,"t",0,0
"156","Italy","Cameroon",1982,1,1,"t",2,3
"157","Italy","Cameroon",1982,1,1,"t",2,0
"158","Argentina","Cameroon",1990,0,1,"l",1,10
"159","Argentina","Cameroon",1990,0,1,"l",1,1
"160","England","Cameroon",1990,3,2,"w",3,10
"161","England","Cameroon",1990,3,2,"w",3,1
"162","Russia","Cameroon",1994,6,1,"w",22,1
"163","Russia","Cameroon",1994,6,1,"w",22,17
"164","Brazil","Cameroon",1994,3,0,"w",1,1
"165","Brazil","Cameroon",1994,3,0,"w",1,17
"166","Italy","Cameroon",1998,3,0,"w",3,3
"167","Chile","Cameroon",1998,1,1,"t",0,3
"168","Ireland","Cameroon",2002,1,1,"t",11,3
"169","Japan","Cameroon",2010,1,0,"w",1,4
"170","Mexico","Cameroon",2014,1,0,"w",1,5
"172","Soviet Union","Canada",1986,2,0,"w",2,12
"173","Hungary","Canada",1986,2,0,"w",0,12
"176","Argentina","Chile",1930,3,1,"w",2,0
"177","England","Chile",1950,2,0,"w",1,3
"178","Spain","Chile",1950,2,0,"w",0,3
"179","Brazil","Chile",1962,4,2,"w",0,0
"180","Germany","Chile",1962,2,0,"w",21,0
"181","Soviet Union","Chile",1966,2,1,"w",1,0
"182","Italy","Chile",1966,2,0,"w",1,0
"183","North Korea","Chile",1966,1,1,"t",0,0
"184","Germany","Chile",1974,1,0,"w",2,0
"185","Germany","Chile",1974,1,0,"w",7,0
"186","Australia","Chile",1974,0,0,"t",15,0
"187","Germany","Chile",1982,4,1,"w",1,0
"188","Algeria","Chile",1982,3,2,"w",3,0
"189","Italy","Chile",1998,2,2,"t",3,0
"190","Brazil","Chile",1998,4,1,"w",2,0
"191","Honduras","Chile",2010,0,1,"l",2,3
"192","Brazil","Chile",2010,3,0,"w",1,3
"193","Netherlands","Chile",2014,2,0,"w",9,2
"194","Brazil","Chile",2014,1,1,"t",0,2
