"","year","country","rank","total_points"
"1",1994,"Algeria",42,37
"2",1998,"Algeria",54,40
"3",2002,"Algeria",77,473
"4",2006,"Algeria",72,511
"5",2010,"Algeria",61,548
"6",2014,"Algeria",32,749
"7",2018,"Algeria",43,818
"8",2022,"Algeria",38,1471
"9",1994,"Angola",110,12
"10",1998,"Angola",69,35
"11",2002,"Angola",56,529
"12",2006,"Angola",72,527
"13",2010,"Angola",76,438
"14",2014,"Angola",89,383
"15",2018,"Angola",124,379
"16",2022,"Angola",124,1139
"17",1994,"Argentina",9,55
"18",1998,"Argentina",11,58
"19",2002,"Argentina",4,754
"20",2006,"Argentina",4,856
"21",2010,"Argentina",5,1314
"22",2014,"Argentina",5,1240
"23",2018,"Argentina",3,1503
"24",2022,"Argentina",7,1672
"25",1994,"Australia",51,33
"26",1998,"Australia",43,44
"27",2002,"Australia",62,513
"28",2006,"Australia",56,580
"29",2010,"Australia",33,750
"30",2014,"Australia",42,682
"31",2018,"Australia",51,729
"32",2022,"Australia",40,1465
"33",1994,"Austria",38,39
"34",1998,"Austria",36,46
"35",2002,"Austria",40,582
"36",2006,"Austria",70,525
"37",2010,"Austria",76,445
"38",2014,"Austria",58,557
"39",2018,"Austria",24,972
"40",2022,"Austria",28,1510
"41",1994,"Belgium",24,46
"42",1998,"Belgium",33,48
"43",2002,"Belgium",26,622
"44",2006,"Belgium",35,632
"45",2010,"Belgium",57,545
"46",2014,"Belgium",26,891
"47",2018,"Belgium",4,1418
"48",2022,"Belgium",1,1785
"49",1994,"Bolivia",52,33
"50",1998,"Bolivia",41,44
"51",2002,"Bolivia",67,500
"52",2006,"Bolivia",98,442
"53",2010,"Bolivia",76,445
"54",2014,"Bolivia",79,435
"55",2018,"Bolivia",72,599
"56",2022,"Bolivia",76,1317
"57",1998,"Bosnia and Herzegovina",121,21
"58",2002,"Bosnia and Herzegovina",79,463
"59",2006,"Bosnia and Herzegovina",68,534
"60",2010,"Bosnia and Herzegovina",52,600
"61",2014,"Bosnia and Herzegovina",26,809
"62",2018,"Bosnia and Herzegovina",30,901
"63",2022,"Bosnia and Herzegovina",52,1420
"64",1994,"Brazil",2,61
"65",1998,"Brazil",1,70
"66",2002,"Brazil",1,821
"67",2006,"Brazil",1,939
"68",2010,"Brazil",3,1470
"69",2014,"Brazil",9,1141
