"home_team","away_team","home_score","away_score","Year","outcome"
"Argentina","France",3,3,2022,"t"
"Croatia","Morocco",2,1,2022,"w"
"France","Morocco",2,0,2022,"w"
"Argentina","Croatia",3,0,2022,"w"
"Morocco","Portugal",1,0,2022,"w"
"England","France",1,2,2022,"l"
"Croatia","Brazil",1,1,2022,"t"
"Netherlands","Argentina",2,2,2022,"t"
"Morocco","Spain",0,0,2022,"t"
"Portugal","Switzerland",6,1,2022,"w"
"Japan","Croatia",1,1,2022,"t"
"Brazil","Korea Republic",4,1,2022,"w"
"France","Poland",3,1,2022,"w"
"England","Senegal",3,0,2022,"w"
"Netherlands","United States",3,1,2022,"w"
"Argentina","Australia",2,1,2022,"w"
"Korea Republic","Portugal",2,1,2022,"w"
"Ghana","Uruguay",0,2,2022,"l"
"Cameroon","Brazil",1,0,2022,"w"
"Serbia","Switzerland",2,3,2022,"l"
"Canada","Morocco",1,2,2022,"l"
"Croatia","Belgium",0,0,2022,"t"
"Costa Rica","Germany",2,4,2022,"l"
"Japan","Spain",2,1,2022,"w"
"Australia","Denmark",1,0,2022,"w"
"Tunisia","France",1,0,2022,"w"
"Saudi Arabia","Mexico",1,2,2022,"l"
"Poland","Argentina",0,2,2022,"l"
"Ecuador","Senegal",1,2,2022,"l"
"Netherlands","Qatar",2,0,2022,"w"
"IR Iran","United States",0,1,2022,"l"
"Wales","England",0,3,2022,"l"
"Cameroon","Serbia",3,3,2022,"t"
"Korea Republic","Ghana",2,3,2022,"l"
"Brazil","Switzerland",1,0,2022,"w"
"Portugal","Uruguay",2,0,2022,"w"
"Japan","Costa Rica",0,1,2022,"l"
"Belgium","Morocco",0,2,2022,"l"
"Croatia","Canada",4,1,2022,"w"
"Spain","Germany",1,1,2022,"t"
"Tunisia","Australia",0,1,2022,"l"
"Poland","Saudi Arabia",2,0,2022,"w"
"France","Denmark",2,1,2022,"w"
"Argentina","Mexico",2,0,2022,"w"
"Wales","IR Iran",0,2,2022,"l"
"Qatar","Senegal",1,3,2022,"l"
"Netherlands","Ecuador",1,1,2022,"t"
"England","United States",0,0,2022,"t"
"Switzerland","Cameroon",1,0,2022,"w"
"Uruguay","Korea Republic",0,0,2022,"t"
"Portugal","Ghana",3,2,2022,"w"
"Brazil","Serbia",2,0,2022,"w"
"Morocco","Croatia",0,0,2022,"t"
"Germany","Japan",1,2,2022,"l"
"Spain","Costa Rica",7,0,2022,"w"
"Belgium","Canada",1,0,2022,"w"
"Argentina","Saudi Arabia",1,2,2022,"l"
"Denmark","Tunisia",0,0,2022,"t"
"Mexico","Poland",0,0,2022,"t"
"France","Australia",4,1,2022,"w"
"England","IR Iran",6,2,2022,"w"
"Senegal","Netherlands",0,2,2022,"l"
"United States","Wales",1,1,2022,"t"
"Qatar","Ecuador",0,2,2022,"l"
"France","Croatia",4,2,2018,"w"
"Belgium","England",2,0,2018,"w"
"Croatia","England",2,1,2018,"w"
"France","Belgium",1,0,2018,"w"
"Sweden","England",0,2,2018,"l"
"Russia","Croatia",2,2,2018,"t"
"Uruguay","France",0,2,2018,"l"
"Brazil","Belgium",1,2,2018,"l"
"Sweden","Switzerland",1,0,2018,"w"
"Colombia","England",1,1,2018,"t"
"Brazil","Mexico",2,0,2018,"w"
"Belgium","Japan",3,2,2018,"w"
"Spain","Russia",1,1,2018,"t"
"Croatia","Denmark",1,1,2018,"t"
"France","Argentina",4,3,2018,"w"
"Uruguay","Portugal",2,1,2018,"w"
"Japan","Poland",0,1,2018,"l"
"Senegal","Colombia",0,1,2018,"l"
"England","Belgium",0,1,2018,"l"
"Panama","Tunisia",1,2,2018,"l"
"Korea Republic","Germany",2,0,2018,"w"
"Mexico","Sweden",0,3,2018,"l"
"Switzerland","Costa Rica",2,2,2018,"t"
"Serbia","Brazil",0,2,2018,"l"
"Australia","Peru",0,2,2018,"l"
"Denmark","France",0,0,2018,"t"
"Iceland","Croatia",1,2,2018,"l"
"Nigeria","Argentina",1,2,2018,"l"
"Saudi Arabia","Egypt",2,1,2018,"w"
"Uruguay","Russia",3,0,2018,"w"
"Spain","Morocco",2,2,2018,"t"
"IR Iran","Portugal",1,1,2018,"t"
"England","Panama",6,1,2018,"w"
"Japan","Senegal",2,2,2018,"t"
"Poland","Colombia",0,3,2018,"l"
"Belgium","Tunisia",5,2,2018,"w"
"Korea Republic","Mexico",1,2,2018,"l"
"Germany","Sweden",2,1,2018,"w"
"Brazil","Costa Rica",2,0,2018,"w"
"Nigeria","Iceland",2,0,2018,"w"
"Serbia","Switzerland",1,2,2018,"l"
"Denmark","Australia",1,1,2018,"t"
"France","Peru",1,0,2018,"w"
"Argentina","Croatia",0,3,2018,"l"
"Portugal","Morocco",1,0,2018,"w"
"Uruguay","Saudi Arabia",1,0,2018,"w"
"IR Iran","Spain",0,1,2018,"l"
"Colombia","Japan",1,2,2018,"l"
"Poland","Senegal",1,2,2018,"l"
"Russia","Egypt",3,1,2018,"w"
"Sweden","Korea Republic",1,0,2018,"w"
"Belgium","Panama",3,0,2018,"w"
"Tunisia","England",1,2,2018,"l"
"Costa Rica","Serbia",0,1,2018,"l"
"Germany","Mexico",0,1,2018,"l"
"Brazil","Switzerland",1,1,2018,"t"
"France","Australia",2,1,2018,"w"
"Argentina","Iceland",1,1,2018,"t"
"Peru","Denmark",0,1,2018,"l"
"Croatia","Nigeria",2,0,2018,"w"
"Egypt","Uruguay",0,1,2018,"l"
"Morocco","IR Iran",0,1,2018,"l"
"Portugal","Spain",3,3,2018,"t"
"Russia","Saudi Arabia",5,0,2018,"w"
"Germany","Argentina",1,0,2014,"w"
"Brazil","Netherlands",0,3,2014,"l"
"Netherlands","Argentina",0,0,2014,"t"
"Brazil","Germany",1,7,2014,"l"
"Argentina","Belgium",1,0,2014,"w"
"Netherlands","Costa Rica",0,0,2014,"t"
"France","Germany",0,1,2014,"l"
"Brazil","Colombia",2,1,2014,"w"
"Argentina","Switzerland",1,0,2014,"w"
"Belgium","United States",2,1,2014,"w"
"France","Nigeria",2,0,2014,"w"
"Germany","Algeria",2,1,2014,"w"
"Netherlands","Mexico",2,1,2014,"w"
"Costa Rica","Greece",1,1,2014,"t"
"Brazil","Chile",1,1,2014,"t"
"Colombia","Uruguay",2,0,2014,"w"
"United States","Germany",0,1,2014,"l"
"Portugal","Ghana",2,1,2014,"w"
"Korea Republic","Belgium",0,1,2014,"l"
"Algeria","Russia",1,1,2014,"t"
"Bosnia and Herzegovina","IR Iran",3,1,2014,"w"
"Nigeria","Argentina",2,3,2014,"l"
"Honduras","Switzerland",0,3,2014,"l"
"Ecuador","France",0,0,2014,"t"
"Costa Rica","England",0,0,2014,"t"
"Italy","Uruguay",0,1,2014,"l"
"Japan","Colombia",1,4,2014,"l"
"Greece","Côte d'Ivoire",2,1,2014,"w"
"Australia","Spain",0,3,2014,"l"
"Netherlands","Chile",2,0,2014,"w"
"Croatia","Mexico",1,3,2014,"l"
"Cameroon","Brazil",1,4,2014,"l"
"Belgium","Russia",1,0,2014,"w"
"Korea Republic","Algeria",2,4,2014,"l"
"United States","Portugal",2,2,2014,"t"
"Argentina","IR Iran",1,0,2014,"w"
"Germany","Ghana",2,2,2014,"t"
"Nigeria","Bosnia and Herzegovina",1,0,2014,"w"
"Italy","Costa Rica",0,1,2014,"l"
"Switzerland","France",2,5,2014,"l"
"Honduras","Ecuador",1,2,2014,"l"
"Colombia","Côte d'Ivoire",2,1,2014,"w"
"Uruguay","England",2,1,2014,"w"
"Japan","Greece",0,0,2014,"t"
"Australia","Netherlands",2,3,2014,"l"
"Spain","Chile",0,2,2014,"l"
"Cameroon","Croatia",0,4,2014,"l"
"Belgium","Algeria",2,1,2014,"w"
"Brazil","Mexico",0,0,2014,"t"
"Russia","Korea Republic",1,1,2014,"t"
"Germany","Portugal",4,0,2014,"w"
"IR Iran","Nigeria",0,0,2014,"t"
"Ghana","United States",1,2,2014,"l"
